,Iteration,Exploitability,KL Divergence,Regret,Temperature,Stepsize,Magnet Stepsize,Objective
0,2,0.46518336414240125,1,0.05580765467235027,1,0.1,0.05,standard
1,3,0.42223060729760375,1,0.04625650981214299,1,0.1,0.05,standard
2,5,0.34898608242739504,1,0.03229909997495212,1,0.1,0.05,standard
3,9,0.24440409207971392,1,0.016989287663361243,1,0.1,0.05,standard
4,17,0.13624209482314997,1,0.0061889177431269215,1,0.1,0.05,standard
5,33,0.05870666514406042,1,0.0016830491467814065,1,0.1,0.05,standard
6,65,0.020162001531992102,1,0.0003600906390567888,1,0.1,0.05,standard
7,129,0.004564009580000805,1,5.043766979672081e-05,1,0.1,0.05,standard
8,257,0.00032867272684655724,1,1.705257800843461e-05,1,0.1,0.05,standard
9,513,3.0002181010679863e-06,1,1.7571228821985734e-05,1,0.1,0.05,standard
10,1025,4.983554013904268e-09,1,2.0173359315655268e-10,1,0.1,0.05,standard
